id,url,nombre,precio,precio_por,marca,categoria,imagen
526517353,https://www.carrefour.es/supermercado/harina-de-trigo-ecologica-carrefour-bio-1-kg/R-526517353/p,Harina de trigo ecológica Carrefour Bio 1 kg.,2.19,2.19 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/066544_00_1.jpg
VC4AECOMM-104932,https://www.carrefour.es/supermercado/harina-integral-de-trigo-ecologica-carrefour-bio-1-kg/R-VC4AECOMM-104932/p,Harina integral de trigo ecológica Carrefour Bio 1 kg.,2.15,2.15 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/104932_00_1.jpg
prod540134,https://www.carrefour.es/supermercado/harina-de-trigo-classic-carrefour-5-kg/R-prod540134/p,Harina de trigo Classic Carrefour 5 kg.,2.89,0.58 €/kg,Carrefour,Harinas y Levaduras,https://static.carrefour.es/hd_350x_/img_pim_food/835025_00_1.jpg
VC4AECOMM-141314,https://www.carrefour.es/supermercado/bombas-de-bano-pure-energy-idc-institute-160-g/R-VC4AECOMM-141314/p,Bombas de baño Pure Energy IDC Institute 160 g.,2.45,1.53 €/100g,,Sales de Baño,https://static.carrefour.es/hd_350x_/img_pim_food/141314_00_1.jpg
VC4AECOMM-794374,https://www.carrefour.es/supermercado/bombas-de-jabon-efervescentes-multicolor-idc-institute-pack-de-8-unidades-de-15-g/R-VC4AECOMM-794374/p,Bombas de jabón efervescentes multicolor IDC Institute pack de 8 unidades de 15 g.,2.45,2.04 €/100g,,Sales de Baño,https://static.carrefour.es/hd_350x_/img_pim_food/794374_00_1.jpg
VC4AECOMM-477462,https://www.carrefour.es/supermercado/bola-efervescente-con-aroma-becasan-nature-1-ud/R-VC4AECOMM-477462/p,Bola efervescente con aroma Becasan Nature 1 ud.,2.45,13.61 €/kg,,Sales de Baño,https://static.carrefour.es/hd_350x_/img_pim_food/477462_00_1.jpg
prod231537,https://www.carrefour.es/supermercado/melon-piel-de-sapo-carrefour-3-kg-aprox/R-prod231537/p,Melón piel de sapo Carrefour 3 kg aprox,5.22,1.74 €/kg,Carrefour,Sandías y Melones,https://static.carrefour.es/hd_350x_/img_pim_food/284862_00_1.jpg
817316607,https://www.carrefour.es/supermercado/melon-piel-de-sapo-selecta-45-kg-aprox/R-817316607/p,"Melón piel de sapo selecta 4,5 kg aprox",10.3,2.29 €/kg,,Sandías y Melones,https://static.carrefour.es/hd_350x_/img_pim_food/917957_00_1.jpg
2002618485,https://www.carrefour.es/supermercado/gel-champu-original-denenes-600-ml/R-521002487/p,Gel champú Original Denenes 600 ml.,4.15,0.69 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/001443_00_1.jpg
VC4AECOMM-225784,https://www.carrefour.es/supermercado/jabon-liquido-ultra-suave-con-aloe-vera-para-cuerpo-y-cabello-nenuco-1100-ml/R-VC4AECOMM-225784/p,Jabón líquido ultra suave con aloe vera para cuerpo y cabello Nenuco 1100 ml.,5.19,0.47 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/225784_00_1.jpg
VC4A-19248078,https://www.carrefour.es/supermercado/gel-champu-felices-suenos-denenes-600-ml/R-521002493/p,Gel Champú Felices Sueños Denenes 600 ml.,4.25,0.85 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/554097_00_1.jpg
2002870052,https://www.carrefour.es/supermercado/gel-dermo-limpiador-mustela-750-ml/R-590504186/p,Gel Dermo-Limpiador Mustela 750 ml,13.45,1.79 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/259369_00_1.jpg
VC4AECOMM-154082,https://www.carrefour.es/supermercado/gel-de-bano-y-champu-ricitos-de-oro-lavanda-y-lechuga-grisi-500-ml/R-VC4AECOMM-154082/p,Gel de baño y Champú ricitos de oro lavanda y lechuga Grisi 500 ml.,3.79,0.76 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/154082_00_1.jpg
VC4AECOMM-305915,https://www.carrefour.es/supermercado/gel-champu-my-carrefour-baby-750-ml/R-VC4AECOMM-305915/p,Gel champú My Carrefour Baby 750 ml.,3.79,0.51 €/100ml,Carrefour,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/305915_00_1.jpg
2002870084,https://www.carrefour.es/supermercado/gel-de-bano-suave-cuerpo-y-cabello-mustella-500-ml/R-590507872/p,Gel de baño suave cuerpo y cabello Mustella 500 ml.,12.15,2.43 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/545923_00_1.jpg
VC4A-14232128,https://www.carrefour.es/supermercado/gel-de-bano-con-espuma-con-aguacate-mustela-750-ml/R-590507874/p,Gel de baño con espuma con aguacate Mustela 750 ml.,12.75,1.70 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/545934_00_1.jpg
VC4AECOMM-225783,https://www.carrefour.es/supermercado/jabon-para-bano-con-leche-de-almendras-dulces-para-cuerpo-y-cabello-nenuco-650-ml/R-VC4AECOMM-225783/p,Jabón para baño con leche de almendras dulces para cuerpo y cabello Nenuco 650 ml.,3.85,0.59 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/225783_00_1.jpg
VC4A-3295525,https://www.carrefour.es/supermercado/gel-suave-sin-jabon-bebe-instituto-espanol-500-ml/R-prod590201/p,Gel suave sin jabón bebé Instituto Español 500 ml.,5.75,1.15 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/838123_00_1.jpg
596001511,https://www.carrefour.es/supermercado/bao-espleti-baby-sebam1000/R-596001511/p,BA?O ESP.LETI BABY SEBAM1000,18.49,1.85 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/114914_00_1.jpg
VC4AECOMM-173416,https://www.carrefour.es/supermercado/gel-de-bano-delicado-para-bebe-natural-sensation-0m-chicco-500-ml/R-VC4AECOMM-173416/p,Gel de baño delicado para bebé Natural Sensation 0m+ Chicco 500 ml.,11.75,2.35 €/100ml,,Jabón Líquido,https://static.carrefour.es/hd_350x_/img_pim_food/173416_00_1.jpg
VC4AECOMM-083628,https://www.carrefour.es/supermercado/pechuga-de-pollo-al-natural-classic-carrefour-pack-de-2-unidades-de-52-g/R-VC4AECOMM-083628/p,Pechuga de pollo al natural Classic Carrefour pack de 2 unidades de 52 g.,2.09,24.88 €/kg,Carrefour,Conservas de Carne,https://static.carrefour.es/hd_350x_/img_pim_food/083628_00_1.jpg
521006543,https://www.carrefour.es/supermercado/salchichas-cocktail-ahumadas-sensation-carrefour-250-g/R-521006543/p,Salchichas Cocktail ahumadas Sensation Carrefour 250 g.,2.45,9.80 €/kg,Carrefour,Conservas de Carne,https://static.carrefour.es/hd_350x_/img_pim_food/230428_00_1.jpg
698102886,https://www.carrefour.es/supermercado/crema-de-jamon-york-iberitos-250-g/R-698102886/p,Crema de jamón york Iberitos 250 g.,2.45,9.80 €/kg,,Conservas de Carne,https://static.carrefour.es/hd_350x_/img_pim_food/324208_00_1.jpg
521006541,https://www.carrefour.es/supermercado/salchichas-ahumadas-tipo-frankfurter-original-carrefour-250-g/R-521006541/p,Salchichas ahumadas tipo Frankfurter Original Carrefour 250 g.,2.25,9 €/kg,Carrefour,Conservas de Carne,https://static.carrefour.es/hd_350x_/img_pim_food/230427_00_1.jpg
521006547,https://www.carrefour.es/supermercado/salchichas-tipo-bockwurst-ahumadas-original-carrefour-250-g/R-521006547/p,Salchichas tipo Bockwurst ahumadas Original Carrefour 250 g.,1.99,7.96 €/kg,Carrefour,Conservas de Carne,https://static.carrefour.es/hd_350x_/img_pim_food/230431_00_1.jpg
